PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Eric Norwood	CAR	0	0	0	0	0	0	0	0
OBrien Schofield	ARI	0	0	0	0	0	0	0	0
Antonio Coleman	ARI	0	0	0	0	0	0	0	0
Ryan Kerrigan	WAS	0	0	0	0	0	0	0	0
Dontay Moch	CIN	0	0	0	0	0	0	0	0
Sam Acho	ARI	0	0	0	0	0	0	0	0
Greg Jones	NYG	0	0	0	0	0	0	0	0
D.J. Smith	GB	0	0	0	0	0	0	0	0
Mike Mohamed	DEN	0	0	0	0	0	0	0	0
J.T. Thomas	CHI	0	0	0	0	0	0	0	0
Nick Perry	GB	0	0	0	0	0	0	0	0
Keenan Robinson	WAS	0	0	0	0	0	0	0	0
James-Michael Johnson	CLE	0	0	0	0	0	0	0	0
Tank Carder	CLE	0	0	0	0	0	0	0	0
Terrell Manning	GB	0	0	0	0	0	0	0	0
Bryan Kehl	WAS	0	0	0	0	0	0	0	0
