PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Kelvin Hayden	CHI	4.2	0.16	0.36	2.7	1	0	0.02	0.06
Johnathan Joseph	HOU	4.2	0.23	0.97	2.8	1.3	0	0.01	0.14
Tim Jennings	CHI	4.2	0.06	0.45	3.4	1.3	0	0.08	0.1
Joe Haden	CLE	4.2	0.11	0.95	3.2	1.8	0.04	0.04	0.12
Jabari Greer	NO	4.1	0.2	0.88	3.1	1.5	0	0.04	0.01
Corey Webster	NYG	4.1	0.31	0.9	2.3	1	0	0.02	0.04
Steve Gregory	NE	4.1	0.09	0.16	3.4	2.6	0	0.01	0.02
Sherrod Martin	CAR	4.1	0.16	0.41	3.2	1.4	0	0.03	0.04
Richard Sherman	SEA	4.1	0.18	0.75	2.9	1.4	0	0.02	0.11
Abram Elam	KC	4	0.02	0.26	3.1	1.5	0.05	0.09	0.18
Brandon Flowers	KC	4	0.13	1.02	3	1.4	0	0.01	0.04
Cedric Griffin	WAS	3.9	0.08	0.74	3.2	2.8	0	0.01	0.16
Josh Wilson	WAS	3.9	0.15	0.9	2.9	2.4	0	0.06	0.05
William Gay	ARI	3.9	0.06	0.74	3	1	0.05	0.1	0.04
Alterraun Verner	TEN	3.9	0.12	0.46	3	1.2	0	0.09	0.02
Sam Shields	GB	3.9	0.18	0.56	2.6	1	0.05	0.02	0.04
Quentin Jammer	SD	3.8	0.04	0.36	3.2	1.2	0	0.07	0.03
Justin King	IND	3.8	0.06	0.22	3	2.6	0.06	0.02	0.1
Ike Taylor	PIT	3.7	0.15	0.86	2.6	1.5	0.04	0.02	0.07
Darrelle Revis	NYJ	3.7	0.16	1.21	2.4	1.1	0	0.04	0.01
Major Wright	CHI	3.7	0.1	0.25	2.9	1.1	0	0.02	0.01
Reshad Jones	MIA	3.7	0.06	0.24	3	1.1	0.09	0.06	0.01
Quinton Carter	DEN	3.7	0.09	0.18	3	1.4	0.03	0.03	0.02
Adrian Wilson	ARI	3.6	0.06	0.65	2.9	1	0.05	0.02	0.09
Dunta Robinson	ATL	3.6	0.1	0.57	2.9	1.6	0	0.05	0.02
Leon Hall	CIN	3.6	0.17	0.59	2.5	1.8	0	0.07	0.07
Craig Dahl	STL	3.6	0.11	0.3	2.7	0.8	0.02	0.04	0.09
Dwight Lowery	JAC	3.6	0.13	0.48	1.7	0.8	0.18	0.13	0.02
Vontae Davis	IND	3.6	0.11	0.35	2.8	2.4	0.06	0.02	0.01
Patrick Robinson	NO	3.6	0.2	0.6	2.1	1	0	0.01	0.02
Kendrick Lewis	KC	3.6	0.09	0.56	2.4	1.2	0	0.11	0.14
Sheldon Brown	CLE	3.5	0.13	0.66	2.6	1.4	0	0.06	0.06
Rashean Mathis	JAC	3.5	0.04	0.34	2.8	1.5	0	0.12	0.05
Reed Doughty	WAS	3.5	0.03	0.22	3	2.7	0.02	0.05	0.1
D.J. Moore	CHI	3.5	0.17	0.4	2.2	0.9	0	0.02	0.05
Chris Gamble	CAR	3.4	0.15	0.74	2.5	1.1	0	0.01	0.01
Tarell Brown	SF	3.4	0.28	0.73	1.9	0.5	0	0.01	0.02
Kareem Jackson	HOU	3.4	0.05	0.44	2.7	1.2	0	0.02	0.17
Antonio Cromartie	NYJ	3.3	0.17	0.83	2.2	1	0	0.02	0.06
Javier Arenas	KC	3.3	0.05	0.4	1.5	0.8	0.12	0.09	0.01
Stanford Routt	KC	3.2	0.12	0.9	2.5	1.3	0.01	0.02	0.05
Cary Williams	BAL	3.2	0.03	0.66	2.8	1.6	0.01	0.02	0.13
Jamarca Sanford	MIN	3.2	0.1	0.3	2.4	1.6	0.01	0.08	0.04
Jim Leonhard	DEN	3.2	0	0.11	2.8	1.1	0	0.05	0.1
Troy Nolan	MIA	3.1	0.05	0.24	2.6	0.9	0.03	0.04	0.02
Aaron Williams	BUF	3.1	0.06	0.4	2.5	1.5	0	0.01	0.1
Bryan Scott	BUF	3	0.05	0.32	2	1.2	0.12	0.09	0.01
Dominique Rodgers-Cromartie	PHI	3	0.04	0.68	2.2	0.8	0.07	0.03	0.01
Derek Cox	JAC	3	0.08	0.36	2.5	1.2	0	0.03	0.02
Harrison Smith	MIN	3	0.06	0.46	2.4	1.4	0.04	0.03	0.06
Nnamdi Asomugha	PHI	2.9	0.11	0.32	2.3	0.9	0	0.02	0.01
Rahim Moore	DEN	2.9	0.07	0.18	2.2	1	0	0.11	0.02
Marcus Gilchrist	SD	2.9	0.12	0.22	2	0.8	0	0.09	0.01
Usama Young	CLE	2.8	0.05	0.2	2.5	1.4	0.01	0.02	0.01
Perrish Cox	SF	2.8	0.02	0.84	2.7	0.9	0	0.01	0.01
Terrence McGee	BUF	2.7	0.04	0.29	2.5	1.5	0	0.01	0.01
James Sanders	ARI	2.7	0.04	0.21	2.1	0.8	0.01	0.12	0.02
Dimitri Patterson	CLE	2.7	0.1	0.64	1.9	1	0.01	0.02	0.01
Jason Allen	CIN	2.7	0.15	0.42	1.9	1.4	0	0.02	0.02
Chris Cook	MIN	2.6	0.03	0.51	2.4	1.4	0	0.01	0.01
Chris Culliver	SF	2.6	0.08	0.32	2.1	0.6	0	0.01	0.03
Aaron Ross	JAC	2.5	0.07	0.38	2	1	0.03	0.04	0.01
Leodis McKelvin	BUF	2.5	0.04	0.39	1.7	1	0	0.1	0.02
Quintin Demps	HOU	2.5	0.15	0.28	1.6	0.7	0.01	0.02	0.02
Courtney Greene	JAC	2.4	0.02	0.17	1.9	1.1	0	0.06	0.08
Janoris Jenkins	STL	2.4	0.2	0.78	1.2	0.4	0.02	0.05	0.03
Alan Ball	HOU	2.3	0.09	0.5	1.6	0.7	0	0.07	0.04
Craig Steltz	CHI	2.3	0.02	0.15	1.6	0.6	0.05	0.02	0.21
Jimmy Smith	BAL	2.3	0.14	0.48	1.4	0.8	0	0.05	0.01
Mistral Raymond	MIN	2.3	0.23	0.58	0.9	0.6	0	0.05	0.01
Brandon Taylor	SD	2.3	0.06	0.2	1.7	0.7	0.02	0.03	0.03
